tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"Av. Norte, 1841","288,00 m²","136,24 m²","R$495.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte com a/e,1 Quarto com a/e,1 Quarto,1 Wc social,2 Vaga(s) de garagem,Alarme,Área de lazer,Cerca elétrica,Churrasqueira,Cozinha planejada,Interfone,Jardim,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,Av. Rodoviária,"200,00 m²","95,00 m²","R$400.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Sala de estar,Sala de jantar,1 Suíte,1 Quarto,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metello,"360,00 m²","150,00 m²","R$380.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Jardim,Piscina",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metello,"130,00 m²","136,00 m²","R$750.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto,2 Quarto(s),Sacada,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha,Interfone,Lavabo,Lavanderia",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metello,"116,95 m²","66,77 m²","R$240.000,00","Sala de TV,2 Quarto(s),1 Wc social,1 Vaga de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Adriano Metello, 282","360,00 m²","170,00 m²","R$460.000,00","Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto,1 Quarto,1 Varanda,1 Wc social,3 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metelo,"280,00 m²","85,00 m²","R$445.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,1 Apto com a/e,1 Quarto,1 Wc social,3 Vaga(s) de garagem,Churrasqueira,Cozinha,Jardim",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metelo,"360,00 m²","200,00 m²","R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de jantar,Sala de TV,3 Suíte(s) com a/e,1 Apto,3 Varanda(s),Alarme,Área de serviço,Árvores frutíferas,Cerca elétrica,Churrasqueira,Cozinha,Cozinha planejada,Depósito,Edícula,Gazebo,Interfone,Jardim,Lavabo,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metelo,"360,00 m²","170,00 m²","R$650.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,Sala de TV,4 Suíte(s) com a/e,1 Varanda,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Adriano Metelo 129,"360,00 m²","144,52 m²","R$600.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Apto,1 Quarto,1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de lazer,Área de serviço,Árvores frutíferas,Interfone,Porteiro eletrônico,WC de serviço",,
