tipo,cidade/uf,bairro,endereço,área_total,área_construída,iptu,valor,descricao,condomínio
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"281,00 m²","142,00 m²",,"R$560.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"378,00 m²","180,00 m²",,"R$765.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Despensa,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"185,00 m²","93,00 m²",,"R$400.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,1 Vaga de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"250,00 m²","125,00 m²",,"R$550.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"255,00 m²","100,00 m²",,"R$400.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,2 Suíte(s),1 Quarto,1 Wc social,1 Vaga de garagem,Área de serviço,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"180,00 m²","105,00 m²",,"R$500.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,1 Vaga de garagem,Área de serviço,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"300,00 m²","113,00 m²",,"R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Aquecedor solar,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Copa,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia,WC de serviço",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"180,00 m²","108,00 m²",,"R$450.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,1 Vaga de garagem,Área de serviço,Cerca elétrica,Cozinha,Cozinha americana,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"180,00 m²","90,00 m²",,"R$470.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,2 Quarto(s) com a/e,1 Quarto,2 Varanda(s),1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Copa,Cozinha,Interfone,Jardim,Lavanderia,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Jardim Panamá,,"180,00 m²","100,00 m²",,"R$470.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Wc social,1 Vaga de garagem,Área de serviço,Cozinha,Cozinha americana,Jardim,Lavanderia",
